SYMBOL,SERIES,SECURITY,HIGH/LOW
1015SCL28B,AZ,SEC RE NCD 10.15% SR VII,H
777HP49,SG,SDL HP 7.77% 2049,H
AARADHYA,SM,AARADHYA DISPOSAL INDUS L,H
AISL,SM,ANI INTEGRATED SERV LTD.,H
AKANKSHA,SM,AKANKSHA POWER N INFRA L,H
AKI,EQ,AKI INDIA LIMITED,H
AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED,H
AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD,H
ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,H
ANGELONE,EQ,ANGEL ONE LIMITED,H
AQYLON,EQ,AQYLON NEXUS LIMITED,H
ARSHIYA,BZ,ARSHIYA LIMITED,H
ATHERENERG,EQ,ATHER ENERGY LIMITED,H
BHADORA,ST,BHADORA INDUSTRIES LTD,H
BHAGERIA,BE,BHAGERIA INDUSTRIES LTD,H
BI,BE,BILCARE LTD.,H
BIOPOL,SM,BIOPOL CHEMICALS LIMITED,H
BIRLACABLE,BE,BIRLA CABLE LIMITED,H
BLISSGVS,BE,BLISS GVS PHARMA LTD,H
BLUEPEBBLE,SM,BLUE PEBBLE LIMITED,H
BURNPUR,EQ,BURNPUR CEMENT LIMITED,H
CLASSICEIL,SM,CLASSIC ELECTRODE (IND) L,H
CMRSL,SM,CYBER MEDIA RES & SER LTD,H
COFFEEDAY,BE,COFFEE DAY ENTERPRISE LTD,H
CONSOFINVT,BE,CONSO. FIN. & HOLD. LTD.,H
COOLCAPS,ST,COOL CAPS INDUSTRIES LTD,H
CORDELIA,EQ,WATERWAYS LEISURE TOUR L,H
CRSL,BE,CRESSANDA RAILWAY SOLUT L,H
DBEIL,BE,DEEPAK BUILDERS & ENG I L,H
DCMNVL,EQ,DCM NOUVELLE LIMITED,H
DEEM,ST,DEEM ROLL TECH LIMITED,H
DHANSA,SM,DHANSA LABS LIMITED,H
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,H
DHARIWAL,SM,DHARIWALCORP LIMITED,H
DIACABS,BE,DIAMOND POWER INFRA LTD,H
DIVYADHAN,ST,DIVYADHAN RECYCLING IND L,H
DOLPHIN,EQ,DOLPHIN OFF ENT (IND) L,H
DSSL,EQ,DYNACONS SYS & SOLN LTD,H
DYNAMIC,ST,DYNAMIC SRVCS & SEC LTD,H
EMAMIPAP,BE,EMAMI PAPER MILLS LIMITED,H
ESCONET,SM,ESCONET TECHNOLOGIES LTD,H
ESDS,EQ,ESDS SOFTWARE SOLUTION L,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FILATFASH,EQ,FILATEX FASHIONS LIMITED,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
FONEBOX,SM,FONEBOX RETAIL LIMITED,H
FORGEAUTO,SM,FORGE AUTO INTERNATION L,H
GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,H
GJL,ST,GROVER JEWELLS LIMITED,H
GLOBALPET,ST,GLOBAL PET INDUSTRIES LTD,H
GPECO,ST,GP ECO SOLUTIONS INDIA L,H
GRADIENTE,EQ,GRADIENTE INFOTAINMENT L,H
GSLSU,EQ,GLOBAL SURFACES LIMITED,H
GURUNANAK,SM,GURUNANAK AGRICULTUR IN L,H
GVKPIL,BE,GVK POW. & INFRA LTD.,H
HFCL,BE,HFCL LIMITED,H
ICDSLTD,EQ,ICDS LTD,H
IEML,ST,INDIAN EMULSIFIERS LTD,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,H
INDIAGLYCO,BE,INDIA GLYCOLS LTD,H
INSPIRE,SM,INSPIRE FILMS LIMITED,H
ISHAN,SM,ISHAN INTERNATIONAL LTD,H
IWARE,ST,IWARE SUPPLYCHAIN SER LTD,H
JINDWORLD,EQ,JINDAL WORLDWIDE LTD,H
JOCIL,BE,JOCIL LIMITED,H
JYOTIGLOBL,SM,JYOTI GLOBAL PLAST LTD,H
KAVDEFENCE,EQ,KAVVERI DFS & WIR TEC LTD,H
KAYA,BE,KAYA LIMITED,H
KEI,EQ,KEI INDUSTRIES LTD.,H
KILITCH,BE,KILITCH DRUGS INDIA LTD,H
