MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,       720.00,       864.00,       864.00,       864.00,       864.00,                      864.00,1, ,1,      1001.00,       404.00
N,N0,1025PATE28,PATE 10.25% 2028,    101363.78,     99500.00,     99500.00,     99500.00,     99500.00,                    99500.00,1, ,1,    101446.48,     96331.51
N,N0,1025VCCL28,VCCL 10.25% 2028,     94000.00,     95000.00,     96000.00,     95000.00,     96000.00,                  1431000.00,15, ,3,     98747.19,     90000.00
N,N0,1075WCA28,WCAPL 10.75% 2028,      9633.00,      9633.00,      9633.00,      9405.00,      9405.00,                    38304.00,4, ,3,     10129.00,      8190.00
N,N0,1125AFIL29,AFIL 11.25% 2029,      9885.00,      9809.00,      9809.00,      9809.00,      9809.00,                   392360.00,40,XI,2,      9955.00,      9809.00
N,N0,1150AFIL29,AFIL 11.50% 2029,      9909.02,      9903.00,      9909.02,      9903.00,      9903.00,                   208017.18,21,XI,3,      9950.00,      7875.00
N,N0,115VCCL31,VCCL 11.5% 2031,     97500.00,     99000.00,     99000.00,     99000.00,     99000.00,                    99000.00,1, ,1,     99000.00,     96500.00
N,N0,125VCCL31,VCCL 12.5% 2031,     97499.00,     97300.00,     97300.00,     97199.00,     97199.00,                   388998.00,4, ,4,     98449.00,     76800.00
N,N0,1275DCCL28,DCCL 12.75% 2028,      9943.42,      9976.14,      9976.14,      9976.14,      9976.14,                    39904.56,4, ,1,     10000.00,      9000.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9980.84,     10002.20,     10002.20,     10002.20,     10002.20,                    50011.00,5, ,1,     10500.00,      8100.00
N,N0,12AFIL28,AFIL 12% 2028,      9974.00,      9974.00,      9974.00,      9900.00,      9900.00,                   149010.00,15, ,4,     10289.00,      9202.00
N,N0,12VCCL29B,VCCL 12% 2029,     95910.00,     98000.00,     98000.00,     98000.00,     98000.00,                   980000.00,10, ,1,    102000.00,     89900.00
N,N0,905SCL36,SCL 9.05% 2036,    101000.00,    100100.00,    100100.00,    100100.00,    100100.00,                 15015000.00,150, ,1,    101000.00,    100100.00
N,N0,915APSBC28,APSBC 9.15% 2028 STRPP C,    101000.01,    101599.00,    101599.00,    101599.00,    101599.00,                   101599.00,1, ,1,    104000.00,    100000.00
N,N0,915APSBC35,APSBC 9.15% 2035 STRPP J,    104450.02,    105125.00,    105125.00,    105125.00,    105125.00,                   105125.00,1, ,1,    119560.00,    102000.00
N,N0,925IIFL32A,IIFL 9.25% 2032 SR 35,    100000.00,    100000.00,    100000.00,    100000.00,    100000.00,                   100000.00,1, ,1,    100000.00,    100000.00
N,N0,930APMD32,APMD 9.30% 2032 STRPP F,    103201.01,    105490.00,    105500.00,    105490.00,    105495.00,                   210990.00,2, ,2,    106000.00,    100475.00
N,N0,965ISF28,ISF 9.65% 2028,     99000.00,     99000.00,     99000.00,     99000.00,     99000.00,                    99000.00,1, ,1,    101112.81,     98027.40
N,N0,975ISF28,ISF 9.75% NCD 2028,     99599.00,     99000.00,     99000.00,     99000.00,     99000.00,                   693000.00,7, ,7,    112828.99,     86000.00
N,N1,1015SCL29B,SEC RE NCD 10.15% SR VII,      1094.55,      1105.38,      1105.38,      1105.38,      1105.38,                     1105.38,1, ,1,      1105.38,       972.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,       990.01,      1000.12,      1000.12,       999.70,       999.70,                     5000.18,5, ,2,      1090.70,       950.00
N,N1,735PFCL35,7.35% TAX FREE NCD,      1169.80,      1202.10,      1202.10,      1202.10,      1202.10,                   925617.00,770, ,1,      1202.10,      1169.80
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       311.01,       311.25,       311.25,       311.25,       311.25,                    15562.50,50, ,1,       342.10,       300.00
N,N1,888ECL28,ECL 8.88% 2028 SR V,       984.01,       987.05,       987.05,       980.01,       982.10,                   403203.89,410, ,13,      1028.00,       785.00
N,N1,89IHFL29,SEC RE NCD 8.90% SR VI,       975.00,       980.00,       980.00,       980.00,       980.00,                   117600.00,120, ,5,       998.50,       822.80
N,N1,902SCL28,SCL 9.02% SR V,       998.00,      1000.64,      1000.64,      1000.64,      1000.64,                    75048.00,75,XI,2,      1018.68,       822.00
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       981.00,      1060.00,      1060.00,      1060.00,      1060.00,                     3180.00,3, ,1,      1080.60,       904.00
N,N1,971SCL30,SCL 9.71% SR VIII,      1029.00,      1021.52,      1021.52,      1021.52,      1021.52,                   106238.08,104,XI,3,      1029.84,       901.20
N,N1,99SCL27V,SCL 9.90% 2027 SR IV,      1005.00,      1041.80,      1060.00,      1024.00,      1060.00,                  1580535.60,1525, ,5,      1060.00,       920.50
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1075.00,      1075.00,      1075.00,      1075.00,      1075.00,                   215000.00,200, ,1,      1109.90,      1032.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1119.00,      1110.10,      1118.00,      1110.07,      1118.00,                  1034878.00,931, ,13,      1165.00,      1072.50
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       312.00,       312.00,       312.00,       312.00,       312.00,                      312.00,1, ,1,       372.00,       303.02
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1083.00,      1082.00,      1082.00,      1082.00,      1082.00,                   108200.00,100, ,2,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1058.75,      1058.75,      1058.75,      1053.01,      1053.01,                    31672.06,30, ,5,      1129.00,      1019.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1086.06,      1086.07,      1088.00,      1086.06,      1086.40,                   775163.18,713, ,18,      1130.00,      1026.01
N,N2,855IREDA29,IREDA 8.55NCDTR I SR II A,      1101.20,      1110.10,      1110.10,      1110.10,      1110.10,                     5550.50,5, ,1,      1250.00,      1082.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1215.00,      1215.00,      1215.00,      1210.00,      1210.50,                    36315.00,30, ,2,      1225.81,      1107.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,      1066.80,      1066.80,      1066.80,      1066.80,      1066.80,                    26670.00,25, ,1,      1085.00,       976.00
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       416.53,       417.50,       418.00,       417.50,       418.00,                   302871.00,725, ,4,       459.19,       402.07
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       256.50,       250.00,       251.00,       250.00,       251.00,                     2005.00,8, ,2,       263.95,       239.89
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1009.99,      1007.00,      1009.75,      1000.00,      1000.00,                   809928.41,807, ,9,      1089.99,       961.00
N,N4,865SCL27,SCL 8.65% 2027 SR II,      1001.00,      1001.00,      1001.00,      1001.00,      1001.00,                     3003.00,3, ,1,      1005.00,       905.20
N,N4,888SCL25E,SEC RE NCD 10.25% SR XII,       939.00,       915.00,       915.20,       915.00,       915.20,                    68633.00,75, ,3,      1130.00,       680.40
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1255.01,      1255.01,      1270.00,      1255.01,      1270.00,                   136811.08,109, ,2,      1348.00,      1210.41
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1011.50,      1012.00,      1012.00,      1009.05,      1012.00,                   124464.15,123, ,11,      1140.00,       984.70
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1110.00,      1110.00,      1110.00,      1110.00,      1110.00,                   884670.00,797, ,3,      1273.75,      1062.26
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,      1004.00,      1004.00,      1004.00,      1000.04,      1002.24,                  5289975.43,5282, ,83,      1007.00,       810.60
N,N5,AEL120924A,SEC RE NCD SR V,      1185.00,      1200.00,      1200.00,      1200.00,      1200.00,                    37200.00,31, ,3,      1296.00,      1081.00
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1020.00,      1024.00,      1024.00,      1024.00,      1024.00,                    20480.00,20, ,1,      1050.00,       975.50
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1115.00,      1052.00,      1119.99,      1052.00,      1118.24,                   490890.70,440, ,10,      1250.00,      1052.00
N,N6,880IREDA34,IREDA 8.80NCDTR I SR IIIB,      1280.00,      1250.00,      1250.00,      1250.00,      1250.00,                   125000.00,100, ,1,      1320.00,      1195.40
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1280.00,      1248.00,      1284.90,      1248.00,      1273.74,                   224128.66,176, ,6,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1260.00,      1260.00,      1260.00,      1260.00,      1260.00,                   882000.00,700, ,10,      1520.00,      1181.12
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5600.00,      5600.00,      5600.00,      5600.00,      5600.00,                   207200.00,37, ,5,      6005.00,      5405.10
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6384.00,      6380.00,      6380.00,      6365.00,      6378.63,                   133965.00,21, ,3,      7390.00,      6030.10
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1066.01,      1067.01,      1072.00,      1066.01,      1072.00,                   126068.72,118, ,5,      1182.00,      1040.00
N,N7,990SCL26,SEC RE NCD 9.90% SR IV,       399.80,       365.80,       365.80,       365.80,       365.80,                     5487.00,15, ,2,       839.70,       290.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1051.00,      1055.00,      1055.00,      1055.00,      1055.00,                     5275.00,5, ,1,      1169.00,      1015.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1118.00,      1130.00,      1130.00,      1125.00,      1125.00,                   353435.00,313, ,5,      1175.00,      1083.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1010.00,      1014.80,      1014.80,      1014.40,      1014.40,                   126809.00,125, ,3,      1107.50,       986.70
N,N8,840IRFC29,BOND 8.40% PA TF TI-SIIA,      1097.10,      1307.80,      1307.80,      1307.80,      1307.80,                     6539.00,5, ,1,      1307.80,      1074.40
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1011.00,      1011.00,      1011.00,      1009.05,      1009.05,                    11119.05,11, ,2,      1150.50,       980.96
N,N8,892PFCL33,8.92% TAX FREE NCD,      1286.87,      1276.05,      1276.05,      1276.05,      1276.05,                    12760.50,10, ,1,      1343.00,      1219.99
N,N9,769HUDCO31,7.69% TAX FREETRII SR2B,      1139.50,      1136.50,      1136.80,      1136.10,      1136.80,                   363570.00,320, ,6,      1173.00,      1076.40
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1122.06,      1120.50,      1121.50,      1120.50,      1121.42,                   249973.70,223, ,5,      1179.99,      1075.00
N,N9,885SCL26,SEC RED NCD 8.85% SR. VI,      1077.02,      1078.33,      1080.00,      1077.00,      1077.00,                  3233350.28,3000, ,60,      1080.01,       952.57
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1109.60,      1110.05,      1111.00,      1110.05,      1110.10,                   108829.55,98, ,7,      1159.99,      1075.10
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1108.00,      1108.00,      1108.00,      1107.00,      1107.00,                    22150.00,20, ,2,      1182.95,      1060.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1114.99,      1107.00,      1107.00,      1107.00,      1107.00,                     1107.00,1, ,1,      1157.00,      1032.00
N,NA,9PFL31A,SEC RE NCD 9% SR.V,      1038.00,      1038.00,      1038.00,      1038.00,      1038.00,                    20760.00,20, ,1,      1380.00,       996.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1081.00,      1082.00,      1083.25,      1082.00,      1083.25,                    64938.75,60, ,2,      1083.25,       966.22
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1035.00,      1030.00,      1030.00,      1030.00,      1030.00,                    25750.00,25, ,1,      1130.00,       986.38
