MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       114.33,       114.94,       114.94,       113.54,       113.58,                    11891.20,104,22,       118.00,       108.33,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSL10BANK,BIRLASLAMC - ABSL10BANK,       168.15,       168.16,       170.50,       165.14,       168.65,                    26329.98,156,21,       214.42,       150.00,BSE TOP 10 BANKS INDEX
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        59.05,        59.05,        59.26,        58.85,        59.06,                  3638326.45,61627,306,        64.94,        50.97,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,       999.99,      1000.00,      1000.01,       999.99,      1000.00,                  1302003.74,1302,18,      1044.99,       999.56,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,        29.50,        29.79,        29.85,        29.31,        29.44,                    31525.25,1070,28,        35.34,        26.34,MSCI INDIA INDEX
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        77.01,        77.99,        77.99,        76.90,        77.08,                   464538.55,6022,182,        80.33,        63.02,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.11,        10.17,        10.20,        10.11,        10.18,                  1124325.08,110576,342,        11.60,         9.21,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        54.27,        54.35,        54.41,        54.01,        54.16,                 36186904.44,667379,2029,        55.59,        42.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        26.52,        26.50,        26.71,        26.49,        26.58,                 12827348.87,481962,696,        27.61,        21.80,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.76,        27.85,        27.85,        27.50,        27.59,                 13087658.22,473904,1194,        29.17,        24.35,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        14.28,        14.29,        14.48,        14.29,        14.37,                  6764581.69,470758,1226,        17.73,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1075.29,      1075.71,      1075.71,      1075.66,      1075.67,                 19841873.70,18446,138,      1094.59,       997.56,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,         9.89,        10.13,        10.13,         9.86,         9.89,                   875018.40,88348,1178,        12.00,         9.00,NIFTY 50 INDEX
N,EQ,AONESILVER,AONEAMC - AONESILVER,         8.79,         8.77,         8.92,         8.77,         8.89,                  2348916.25,264493,958,        12.00,         7.43,DOMESTIC PRICE OF SILVER
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,        10.28,        10.33,        10.49,        10.24,        10.30,                   330989.08,32103,250,        10.87,         8.00,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.85,        11.90,        12.00,        11.87,        11.93,                  2241719.70,188125,1193,        12.51,         9.60,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       288.19,       289.86,       289.87,       286.90,       287.47,                 55870566.06,194219,2819,       310.45,       242.50,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        28.91,        29.06,        29.06,        28.73,        28.81,                 28259587.58,980798,2654,        31.46,        24.20,NIFTY AUTO INDEX
N,EQ,BANK10ADD,DSPAMC - BANK10ADD,        16.96,        16.87,        16.98,        16.86,        16.93,                    38987.94,2303,68,        18.99,        12.08,BSE TOP 10 BANKS INDEX (TRI)
N,EQ,BANK10BETF,BFAM - BANK10BETF,        20.69,        20.69,        20.92,        20.68,        20.90,                    11240.22,538,10,        24.90,        20.17,INDEX
N,EQ,BANKADD,DSPAMC - DSPBANK,        58.95,        58.96,        59.14,        58.82,        58.99,                   324237.69,5499,53,        62.90,        51.01,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       596.02,       599.00,       599.00,       595.03,       596.20,                205955021.58,345232,5094,       638.99,       515.98,NIFTY BANK
N,EQ,BANKBETA,UTIAMC-BANKBETA,        59.58,        59.58,        59.71,        59.41,        59.57,                  3925519.52,65905,440,        73.70,        51.30,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        58.40,        58.42,        58.75,        58.32,        58.56,                   326182.97,5574,245,        63.90,        50.71,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       586.00,       588.93,       588.93,       585.01,       586.33,                 11077831.07,18870,210,       628.27,       507.01,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        59.14,        59.25,        59.30,        59.00,        59.14,                 16453430.89,278048,1204,        63.90,        51.17,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,        59.75,        60.19,        60.19,        59.61,        59.71,                  8967577.31,149995,731,       652.87,        51.71,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        86.33,        86.38,        86.74,        86.10,        86.14,                   981124.43,11350,76,        99.52,        67.94,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1342.98,      1361.18,      1361.18,      1340.96,      1342.30,                  1791874.22,1332,95,      1378.00,      1262.29,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        57.15,        58.02,        58.31,        58.00,        58.30,                    11621.00,200,21,        62.77,        50.03,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       147.50,       148.20,       149.50,       146.80,       148.70,                   184494.80,1237,61,       184.05,       100.35,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        27.02,        27.61,        27.61,        27.02,        27.17,                  8773794.06,323149,608,        29.94,        24.03,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BNKETFAXIS,AXISAMC-BNKETFAXIS,       593.00,       593.46,       595.93,       591.80,       592.50,                    86077.13,145,25,       647.82,       512.51,NIFTY BANK
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        39.41,        40.20,        40.20,        39.30,        39.33,                  2428557.33,61545,997,        42.05,        34.50,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       134.18,       136.33,       136.33,       134.70,       135.36,                 30340294.75,224272,2547,       155.99,        88.36,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        28.07,        28.34,        28.34,        27.97,        28.14,                  9550069.71,339470,3601,        33.00,        25.70,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        77.15,        78.67,        78.67,        77.12,        77.52,                   185300.74,2392,72,        87.82,        70.32,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1077.99,      1078.37,      1078.39,      1078.37,      1078.38,                109555358.06,101592,103,      1099.28,      1026.02,BSE LIQUID RATE INDEX
N,EQ,CEMNTGROWW,GROWWAMC - CEMNTGROWW,        14.64,        14.79,        14.79,        14.52,        14.66,                   934484.69,63765,335,        16.27,        14.40,NIFTY CEMENTS INDEX TRI
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        30.29,        30.54,        30.54,        30.10,        30.20,                 16344910.28,539227,1142,        31.80,        24.50,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       151.13,       154.50,       154.50,       151.35,       152.65,                  1477156.71,9699,151,       175.49,       115.79,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        99.41,        99.70,       100.43,        99.25,       100.33,                  2868627.61,28716,1348,       110.56,        87.12,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,        12.01,        11.97,        12.04,        11.95,        11.98,                   175167.19,14601,125,       132.00,        10.20,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMAXIS,AXISAMC-CONSUMAXIS,       119.64,       120.17,       120.37,       119.02,       119.02,                   190909.80,1590,21,       131.85,       105.63,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       130.02,       130.80,       130.80,       129.56,       129.78,                 54872145.55,421784,1348,       144.38,       114.00,NIFTY INDIA CONSUMPTION TRI
