GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,SBI LIFE INSURANCE CO LTD,      1775.00,      1715.00,3.50
G,TATA STEEL LIMITED,       188.79,       184.20,2.49
G,HDFC LIFE INS CO LTD,       546.40,       533.50,2.42
G,RELIANCE INDUSTRIES LTD,      1322.00,      1302.50,1.50
G,TRENT LTD,      2853.00,      2815.60,1.33
G,JSW STEEL LIMITED,      1325.00,      1308.00,1.30
G,ADANI ENTERPRISES LIMITED,      2938.00,      2901.00,1.28
G,ULTRATECH CEMENT LIMITED,     11408.00,     11275.00,1.18
G,BAJAJ FINANCE LIMITED,      1060.50,      1049.00,1.10
G,JIO FIN SERVICES LTD,       239.50,       237.45,0.86
G,KOTAK MAHINDRA BANK LTD,       424.50,       421.15,0.80
G,HDFC BANK LTD,       712.10,       706.65,0.77
G,MAHINDRA & MAHINDRA LTD,      3170.00,      3150.00,0.63
G,HINDUSTAN UNILEVER LTD.,      1973.40,      1962.00,0.58
G,NTPC LTD,       332.50,       330.90,0.48
G,AXIS BANK LIMITED,      1273.00,      1267.00,0.47
G,ITC LTD,       264.10,       263.00,0.42
G,WIPRO LTD,       176.40,       175.72,0.39
G,GRASIM INDUSTRIES LTD,      3322.00,      3310.00,0.36
G,POWER GRID CORP. LTD.,       266.00,       265.60,0.15
G,HINDALCO  INDUSTRIES  LTD,      1011.00,      1010.00,0.10
G,ADANI PORT & SEZ LTD,      1707.30,      1706.50,0.05
 , , , , 
L,HCL TECHNOLOGIES LTD,      1293.40,      1319.00,-1.94
L,BHARTI AIRTEL LIMITED,      1840.00,      1869.00,-1.55
L,MARUTI SUZUKI INDIA LTD.,     12694.00,     12857.00,-1.27
L,BAJAJ FINSERV LTD.,      1970.00,      1992.10,-1.11
L,MAX HEALTHCARE INS LTD,       984.80,       994.90,-1.02
L,TATA CONSUMER PRODUCT LTD,      1010.00,      1019.20,-0.90
L,SUN PHARMACEUTICAL IND L,      1899.00,      1916.00,-0.89
L,BHARAT ELECTRONICS LTD,       405.35,       408.60,-0.80
L,EICHER MOTORS LTD,      7630.50,      7690.00,-0.77
L,STATE BANK OF INDIA,      1016.10,      1023.40,-0.71
L,CIPLA LTD,      1385.00,      1394.70,-0.70
L,TATA CONSULTANCY SERV LT,      2304.00,      2320.10,-0.69
L,ETERNAL LIMITED,       322.75,       324.80,-0.63
L,ASIAN PAINTS LIMITED,      2527.30,      2541.60,-0.56
L,APOLLO HOSPITALS ENTER. L,      8650.00,      8692.00,-0.48
L,ICICI BANK LTD.,      1423.20,      1430.00,-0.48
L,NESTLE INDIA LIMITED,      1410.50,      1416.00,-0.39
L,DR. REDDY S LABORATORIES,      1151.00,      1155.00,-0.35
L,SHRIRAM FINANCE LIMITED,      1041.00,      1044.20,-0.31
L,LARSEN & TOUBRO LTD.,      3964.10,      3975.00,-0.27
L,TATA MOTORS PASS VEH LTD,       311.50,       312.00,-0.16
L,TITAN COMPANY LIMITED,      5020.00,      5027.00,-0.14
L,TECH MAHINDRA LIMITED,      1596.90,      1598.00,-0.07
L,INTERGLOBE AVIATION LTD,      4977.00,      4980.00,-0.06
L,INFOSYS LIMITED,      1130.00,      1130.30,-0.03
L,BAJAJ AUTO LIMITED,     11919.00,     11920.00,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,POWER FIN CORP LTD.,       355.60,       345.50,2.92
G,HYUNDAI MOTOR INDIA LTD,      2205.00,      2152.00,2.46
G,HINDUSTAN ZINC LIMITED,       601.00,       587.95,2.22
G,HINDUSTAN AERONAUTICS LTD,      4856.00,      4765.60,1.90
G,JINDAL STEEL LIMITED,      1165.00,      1145.00,1.75
G,ADANI ENERGY SOLUTION LTD,      1409.60,      1385.70,1.72
G,REC LIMITED,       318.70,       313.60,1.63
G,ADANI GREEN ENERGY LTD,      1301.30,      1283.40,1.39
G,INDIAN RAILWAY FIN CORP L,        83.40,        82.65,0.91
G,TATA CAPITAL LIMITED,       375.05,       371.85,0.86
G,TATA POWER CO LTD,       368.00,       365.70,0.63
G,VEDANTA LIMITED,       272.10,       270.50,0.59
G,PUNJAB NATIONAL BANK,       117.00,       116.32,0.58
G,AVENUE SUPERMARTS LIMITED,      3770.00,      3763.00,0.19
G,VARUN BEVERAGES LIMITED,       407.60,       407.15,0.11
G,MAZAGON DOCK SHIPBUIL LTD,      2475.00,      2474.00,0.04
G,DLF LIMITED,       681.90,       681.65,0.04
 , , , , 
L,HDFC AMC LIMITED,      2458.30,      2510.80,-2.09
L,ZYDUS LIFESCIENCES LTD,      1120.00,      1143.00,-2.01
