SECURITY,NEW,PREVIOUS,NEW_STATUS
ACME SOLAR HOLDINGS LTD       ,430.50,411.50,H
AKIKO GLOBAL SERVICES L       ,419.00,413.00,H
ANTHEM BIOSCIENCES LTD        ,973.50,955.00,H
APSIS AEROCOM LIMITED         ,611.30,599.35,H
ASIAN ENERGY SERVICES LTD     ,538.00,528.40,H
BAHETI RECYCLING IND LTD      ,881.00,875.00,H
BIO MEDICA LABORATORIES L     ,181.00,166.65,H
BIRLA PRECISION TECH L        ,59.79,51.67,H
BLISS GVS PHARMA LTD          ,671.30,665.00,H
BLUSPRING ENTERPRISES LTD     ,139.80,136.67,H
CORDS CABLE INDUS LTD.        ,330.00,329.30,H
CRAFTSMAN AUTOMATION LTD      ,11539.00,11500.00,H
CURIS LIFESCIENCES LTD        ,153.50,150.35,H
CYIENT DLM LIMITED            ,894.00,883.80,H
DAI-ICHI KARKARIA LTD.        ,374.70,369.90,H
DEEP INDUSTRIES LIMITED       ,793.70,749.00,H
DIFFUSION ENGINEERS LTD       ,519.90,493.20,H
ENTERO HEALTHCARE SOLU L      ,1868.90,1863.00,H
ESDS SOFTWARE SOLUTION L      ,908.40,429.00,H
GLOBAL PET INDUSTRIES LTD     ,165.00,164.75,H
GRETEX CORPORATE SERVICES     ,596.85,591.80,H
HALDYN GLASS LTD.             ,149.25,146.00,H
HOAC FOODS INDIA LIMITED      ,1010.00,965.00,H
INNOMET ADVANCED MATERI L     ,282.45,276.95,H
INOX INDIA LIMITED            ,2320.00,2267.90,H
KANCO TEA & INDS. LTD.        ,58.40,58.00,H
KARNATAKA BANK LIMITED        ,345.90,342.50,H
KSH INTERNATIONAL LIMITED     ,1098.00,1059.90,H
KSHITIJ POLYLINE LTD          ,0.08,0.07,H
LALITHAA JEWELLERY MART L     ,308.30,283.65,H
LENSKART SOLUTIONS LTD        ,694.80,681.65,H
LUMINO INDUSTRIES LIMITED     ,122.00,118.99,H
MAN INDUSTRIES (I) LTD.       ,807.75,799.00,H
MENON BEARINGS LIMITED        ,323.95,308.55,H
MINAL INDUSTRIES LTD.         ,5.35,5.10,H
ONIX SOLAR ENERGY LTD.        ,403.20,393.95,H
OPTIMUS FINANCE LTD.          ,15.87,15.79,H
PETRO CARBON AND CHEMI L      ,444.95,444.00,H
