MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     23873.45,     23910.90,     24005.75,     23895.85,     23897.70,1161633618900.02,6115795223,Y, ,35661613,     26373.20,     22182.55
Y, , ,NIFTY50 EQL Wgt,     32567.70,     32614.35,     32690.70,     32571.25,     32587.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     34618.05,     34665.60,     34715.05,     34601.60,     34602.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     19941.05,     19977.80,     20016.10,     19913.55,     19913.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     56618.75,     56702.10,     56723.70,     56382.40,     56408.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     23220.50,     23229.75,     23278.65,     23163.35,     23168.35,0.00,0,Y, ,0,     23647.50,     19218.00
Y, , ,NIFTY SMLCAP 50,      9987.95,     10022.55,     10064.35,     10002.30,     10019.50,0.00,0,Y, ,0,     10064.35,      7338.35
Y, , ,NIFTY SMLCAP 250,     18444.95,     18496.20,     18551.00,     18469.25,     18481.40,0.00,0,Y, ,0,     18551.00,     14143.45
Y, , ,NIFTY MIDSML 400,     21495.25,     21521.45,     21566.85,     21472.40,     21478.20,0.00,0,Y, ,0,     21770.30,     17390.85
Y, , ,NIFTY200 QUALTY30,     20336.95,     20371.15,     20373.20,     20220.40,     20220.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     28084.50,     28145.65,     28357.70,     28141.35,     28217.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     26723.65,     26746.85,     26748.00,     26629.45,     26640.75,0.00,0,Y, ,0,         0.00,         0.00
