SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
SWIGGY LIMITED,       269.30,       276.10,184369387,              51119834391.50
IFCI LTD,        95.91,       101.38,407352536,              41971792905.11
BSE LIMITED,      3306.10,      3409.80,7975058,              27395759857.00
RELIANCE INDUSTRIES LTD,      1302.50,      1322.00,13031534,              17283587823.90
LUMINO INDUSTRIES LIMITED,       110.32,       114.50,139069849,              16228033158.85
TEJAS NETWORKS LIMITED,       567.45,       614.15,26085952,              15898465329.30
THE NEW INDIA ASSU CO LTD,       195.33,       229.91,66928665,              14930434679.00
ESDS SOFTWARE SOLUTION L,       429.00,       908.40,15790052,              13115874910.25
POLYCAB INDIA LIMITED,      8807.50,      8300.00,1559741,              13025481530.00
PC JEWELLER LTD,        10.52,        11.86,1088942848,              12427450209.39
KEI INDUSTRIES LTD.,      5327.00,      4850.00,2381568,              11729999998.50
HDFC BANK LTD,       706.65,       712.10,14488024,              10338145691.25
JINDAL WORLDWIDE LTD,        48.15,        57.51,188275533,              10239526628.67
HBL ENGINEERING LTD,       665.55,       695.75,14312325,              10122587437.10
DHOOT TRANSMISSION LTD,      1583.50,      1615.70,6047122,               9814338483.10
NETWEB TECH INDIA LTD,      5270.00,      5193.00,1816227,               9614867528.50
ICICI BANK LTD.,      1430.00,      1423.20,6693889,               9566874557.40
ATHER ENERGY LIMITED,      1638.90,      1584.00,5585636,               8886302451.80
ANGEL ONE LIMITED,       286.00,       299.80,29274355,               8825066015.90
BILLIONBRAINS GARAGE VN L,       190.24,       194.00,44702306,               8674312538.27
ONE 97 COMMUNICATIONS LTD,      1637.00,      1659.50,5191803,               8666964801.00
GLAND PHARMA LIMITED,      2907.90,      2932.40,2977808,               8644188339.80
MULTI COMMODITY EXCHANGE,      3170.20,      3275.40,2485731,               8037835436.70
PHYSICSWALLAH LIMITED,       120.60,       126.42,62160413,               7880949747.05
VODAFONE IDEA LIMITED,        14.48,        15.02,525960563,               7870972078.36
